Gene,Number of connections,Connected genes
GAL3ST3,1,GSTM5 
PMS2P10,1,CHRM3-AS2 
ZNF579,1,RP11-455I9.1 
IGHV4-61,1,CTB-92J24.2 
ZNF580,1,FAM69C 
RBSN,1,NAP1L3 
ACVRL1,1,PIK3IP1 
ZNF581,1,AC002044.1 
RPS8,1,NSUN5P2 
RPL12,1,ST3GAL2 
GPIHBP1,1,RPL3P7 
ACPP,1,MATN4 
ACTG1P14,1,GADD45G 
ZNF148,1,C6orf136 
GPATCH1,1,RP11-399C16.3 
SGK1,1,RANBP2 
RPL13AP7,1,COMMD1 
PRDM6,1,AFTPH 
AC021188.4,1,TRO 
HPSE,1,AL163953.3 
RPL13AP5,1,LINC00884 
ACSL1,1,RPS17 
GPBAR1,1,SNX17 
GALNT18,1,RP4-633O19__A.1 
RBMX,1,SP100 
ACSS3,1,ACTG2 
ZNF133,1,CCNDBP1 
AC019097.7,1,RP11-145A3.1 
GPC5,1,GPR75 
RBMX2,1,RERG 
ACTA2-AS1,1,CNN2P9 
ACTC1,1,HABP2 
AC018890.6,1,RP11-267M23.1 
ACTG1P10,1,ZNF827 
RP11-98G7.1,1,DIP2A 
RPL12P38,1,RP11-114G11.5 
AC139452.2,1,COX17P1 
POT1,1,MVK 
PRSS21,1,SLC17A4 
HTR6,1,RP11-488C13.1 
ZNF385A,1,DLEU2 
AC093375.1,1,KRR1 
RPL6,1,RP11-403B2.7 
GLRA4,1,TBC1D27 
RPL35P2,1,RP6-24A23.7 
ZNF367,1,LRRC4 
GLRX,1,ZRANB1 
RP11-8P13.5,1,TRG-AS1 
GLRX3,1,RP1-122P22.4 
AC093642.3,1,C5orf34 
PPIG,1,A2M 
AC093818.1,1,SERPINI1 
PPIF,1,AP001505.10 
PPP1R2,1,ZNF134 
PPP1R21,1,RP4-584D14.6 
AC073283.4,1,OR7E38P 
PPIB,1,CTD-2349P21.3 
RPL7P16,1,TNNT3 
PPP1R26-AS1,1,RP11-426A6.5 
ZNF474,1,ZNF836 
RP11-89F3.2,1,AP001625.6 
RPL8,1,ACSF2 
RANP4,1,DDX28 
RPL37,1,SCLY 
HTR2B,1,TMEM92 
RASGRP2,1,GPR87 
AC091633.3,1,RP11-251M1.1 
GLDC,1,EFCAB14 
ZNF436-AS1,1,GGH 
RPL39P3,1,S100A4 
AC078864.1,1,PARVG 
AC078899.4,1,ZNF774 
GKAP1,1,RIN3 
GK5,1,APIP 
ZNF43,1,FLJ20021 
RPL4,1,PAX9 
AC083843.1,1,AC005281.2 
RPL41P1,1,PGLS 
GJA3,1,NDRG4 
RPL38,1,TRIM56 
RP11-92K2.2,1,BBS9 
PPP1R14BP3,1,CTB-33G10.1 
ZNF416,1,AC104135.2 
ZNF445,1,AC005754.8 
PPP1R14A,1,RP11-309L24.4 
AC084219.4,1,ASAH2 
AC084809.2,1,PFN1P1 
RPL5P17,1,TCTE1 
AC087163.2,1,KLHL2P1 
PPME1,1,RGAG1 
PPIAP2,1,PRKRA 
PPIAP11,1,KIFC3 
RPS17,1,ACSL1 
PPARG,1,MPND 
ID2-AS1,1,LMTK2 
PPP1R8,1,CTC-204F22.1 
PP2D1,1,PGS1 
RBBP4P1,1,DPH2 
RBBP4P2,1,NBPF3 
IDH3G,1,ITGB2 
RP11-960L18.1,1,TMPRSS9 
RALY-AS1,1,CLEC12A 
POU6F1,1,RPS26P31 
GCSHP5,1,GPR83 
RALGPS1,1,NDFIP1 
RP11-876N24.3,1,ANKRD40 
AC135048.13,1,COX7A1 
HSD17B4,1,C12orf29 
GCNT3,1,HRH2 
GNG13,1,NUP50 
ZNF263,1,RP11-932O9.7 
POTEH-AS1,1,SCGB2B2 
RP11-875O11.1,1,CASS4 
RPL23AP64,1,PCDHB2 
AC137934.1,1,RP11-500G22.4 
ZNF516,1,STX16 
PPP3CB-AS1,1,YARS2 
PPARA,1,TIGD7 
PPP1R42,1,N4BP2 
PPFIBP2,1,PLEKHA5 
RANBP1,1,TMEM154 
RPL9P3,1,RASGEF1B 
ZNF324,1,SPEF1 
ZNF484,1,ACOT7 
HSPB6,1,KIAA1210 
AC073063.10,1,RP11-68I3.4 
GLUL,1,RP11-308D16.2 
PPP1R36,1,FAM171A1 
PPP1R3D,1,NUP214 
GGCX,1,CACNA2D2 
PPDPF,1,CENPL 
HSPA8,1,CCDC181 
RP11-888D10.3,1,NOL3 
ZNF302,1,CCDC86 
RP11-950C14.10,1,CTD-2010I16.1 
ZNF300P1,1,CYP26B1 
ICMT,1,RP11-231G3.1 
ZNF30-AS1,1,TNNC2 
GEN1,1,ZDHHC24 
AC114498.1,1,CYP27B1 
AC114730.11,1,CACNA1I 
ID2,1,CD27 
ZNF286A,1,CTB-129P6.4 
RPS10P2,1,PRDX3 
GPR110,1,PI3 
GADD45G,1,ACTG1P14 
AC016730.1,1,EGR2 
PRORSD1P,1,AC073316.1 
HNRNPKP4,1,RP11-321A17.6 
ZNF680P1,1,LMO2 
RAB35,1,MIR1254-1 
RAB33B,1,TOX4 
IL33,1,CCDC85B 
AIFM1,1,STON1 
ZNF688,1,HS3ST4 
RP5-899E9.1,1,RP11-460N20.5 
PLA2G15,1,ZCWPW2 
FOCAD-AS1,1,CTD-3214K23.1 
ZNF69,1,HIST3H2A 
PRPF18,1,LINC01126 
ZBTB45,1,TRIM11 
PKNOX1,1,USP18 
SAMD9,1,GPR27 
ZBTB4,1,NAT14 
PKN2,1,C2orf42 
FNBP1,1,TRIM35 
HNRNPA3P10,1,RAPGEF5 
RP5-890E16.2,1,FIBP 
GRB7,1,CTA-14H9.5 
PRPSAP1,1,MEG3 
PKM,1,IGLV3-27 
RAB36,1,OCLM 
S1PR2,1,COL5A2 
FLNB,1,SHFM1 
PLA2G4D,1,RP3-476K8.4 
RXFP1,1,RP11-138E2.1 
ZCCHC17,1,SDS 
RFPL2,1,RP11-231D20.2 
ZNF667,1,TRMT44 
RP13-514E23.1,1,RNF24 
AGGF1P2,1,RPL12P8 
S100A11,1,COX7C 
PLCB2,1,CUL3 
AC007405.4,1,VPS53 
ZC3H8,1,ECSCR 
HNRNPU,1,NMRAL1 
RP13-516M14.2,1,NPTN 
ZC3H7A,1,ADAD2 
S100A13,1,RAD23B 
S100A14,1,DLX4 
PLAGL1,1,OLA1 
S100A16,1,ZNF331 
IKZF4,1,SAC3D1 
ZNF674,1,SYVN1 
IL10RA,1,FAM221A 
FOXP2,1,ZNF587 
IL12B,1,PCSK4 
RP11-793H13.11,1,TNNI2 
IMPAD1,1,HLA-A 
PRR14L,1,ERBB2 
RPIA,1,KLHL15 
ZADH2,1,PTPRD 
HNMT,1,C12orf65 
PIR,1,SCML1 
AC005618.6,1,UTP14C 
ALDH1L2,1,CR2 
ALDH3B1,1,MPDU1 
FIRRE,1,EPHB4 
RP13-942N8.1,1,LINC01515 
ALDH7A1P1,1,AC016712.2 
RP11-753H16.5,1,NUDT19 
RP3-323P24.3,1,BDNF-AS 
RP5-1184F4.5,1,RP11-506M13.3 
RP11-750H9.5,1,NPM1P26 
INTU,1,TMEM260 
AC005517.3,1,AC012360.6 
PILRA,1,GTF2F2 
ZNF74,1,EEF1A1 
ALG13-AS1,1,RP11-380M21.2 
IPMK,1,FAM110A 
HN1,1,CDYL2 
SCEL,1,AMHR2 
YTHDF1,1,NMD3 
PIK3R1,1,CTD-2006M22.2 
YPEL5,1,RP11-554A11.7 
ALDH1A3,1,CD3EAP 
SCAF1,1,HEIH 
AKR7A2P1,1,PSMB5 
ALB,1,PAXBP1-AS1 
FLJ42393,1,DPYS 
AKT1S1,1,AP1M1 
RAB26,1,HPS3 
PKD2L2,1,RP4-785G19.5 
HNRNPA1P59,1,RP11-155O18.6 
SAT1,1,CEBPB-AS1 
FLJ33360,1,C8orf44 
AC006116.12,1,FUT4 
ZBTB1,1,N4BP2L2 
FLJ31356,1,CTA-223H9.9 
PJA1,1,RP11-250B2.3 
AC006077.3,1,RAB32 
ING4,1,RP11-36I17.2 
INIP,1,chr22-38_28785274-29006793.1 
PITX1,1,AC116614.1 
SBDS,1,PCAT1 
PITRM1,1,MIPEP 
HNRNPA1P21,1,LMOD1 
AC006042.6,1,TBX5-AS1 
ZBED3,1,NRBF2P5 
GRK5,1,TFAP2A 
FKBP15,1,LINC01198 
RP5-837J1.6,1,BLOC1S4 
RP5-945F2.3,1,RP11-977G19.5 
HOGA1,1,RP11-44F21.3 
AC007919.18,1,ARF1 
IGLV1-40,1,PCBP3-OT1 
IGLV1-44,1,RP5-1039K5.19 
AC012360.6,1,AC005517.3 
ZFP36L2,1,CPPED1 
ZFP36L1,1,INPP4A 
REEP1,1,CCT4 
PRKAA1,1,SOCS7 
RSL1D1,1,ACHE 
FTSJ3,1,KB-208E9.1 
PLK1,1,RP11-417L19.5 
ADGB,1,TP53I3 
FTSJ1,1,RSPH9 
PRKAB1,1,XIAP 
HOXB13,1,PHKA1P1 
PRKAB2,1,SWSAP1 
HOXA9,1,RP11-421L21.2 
RP6-65G23.3,1,PI4KAP2 
ZFHX3,1,SEPT10 
RP13-210D15.8,1,MED18 
ADH1C,1,SEMA6C 
PLIN3,1,CDC37P1 
ZFAND6,1,WBP4 
REG1A,1,RP11-126L15.4 
PLG,1,SLK 
RECQL5,1,CTD-2035E11.3 
RRS1,1,ALG1L6P 
GPRC5A,1,TSPAN8 
GPR132,1,ITGA1 
PMEPA1,1,MT1B 
ZNF585A,1,RP11-206L10.1 
RP11-9E17.1,1,SLC12A6 
RCCD1,1,TRAF3IP2 
ZIC3,1,TRMT1L 
ADAM7,1,LMOD1 
RP11-819C21.1,1,GABRA1 
AC015987.1,1,DEC1 
RCHY1,1,EIF4E3 
ZNF587,1,FOXP2 
FZD2,1,UBFD1 
FZD10-AS1,1,XPOTP1 
PLXDC1,1,PPIEL 
PLTP,1,MFAP4 
IGKV3-11,1,TRIM44 
AC015849.19,1,SLC25A12 
RD3,1,CRYZ 
RP11-815N9.2,1,CTR9 
RRN3P3,1,CTTNBP2 
PLRG1,1,IL10 
FXN,1,CBR1 
FUT9,1,RP11-44F21.3 
HOXC9,1,PMS2P4 
ZFAND2B,1,PALM2-AKAP2 
PLEKHN1,1,RP11-540B6.6 
AC010468.1,1,RPSAP4 
ADORA2A,1,DLK2 
PLD4,1,FGD5 
PRKD1,1,TCP11 
AFF1,1,RPAP3 
AC009133.17,1,ASB14 
GPR84,1,CSRP1 
AC009120.11,1,EDEM1 
PRKRIP1,1,RP11-533E19.5 
PRKY,1,DDX52 
AC008592.3,1,ADAMTS7P4 
RP11-799B12.1,1,LBR 
GPR88,1,CHAMP1 
RUSC2,1,RP4-612B15.3 
AGAP2,1,GPCPD1 
FRMPD1,1,PURB 
ZCCHC9,1,SVEP1 
RP5-966M1.6,1,NOS2 
ZCCHC7,1,HNF1B 
RWDD1,1,BST1 
RP5-965G21.6,1,PTGIS 
AGAP7P,1,CCDC91 
FRMD1,1,CACNA1F 
PLCL1,1,POLR2F 
PLCH2,1,AC093388.3 
FSD1,1,RP11-145P16.2 
PRKCZ,1,LA16c-360H6.1 
RP11-79O8.1,1,RBPMS 
RAB6B,1,KCTD7 
IGLV3-9,1,LNX2 
ZNF619,1,PIRT 
RP11-804H8.6,1,NUDT4 
RP11-803P9.1,1,TSPAN9 
REM1,1,ACTA1 
GPR62,1,CCDC67 
ADRBK2,1,ZXDA 
ZNF621,1,RP11-114M1.1 
RTF1,1,ALOX12 
RAB6C,1,HDGFP1 
ZDHHC5,1,NARS2 
RP11-79P5.9,1,PPAN 
GPR65,1,BRCA2 
FTH1P3,1,CCDC78 
IGLV4-69,1,DACT1 
HOTTIP,1,RP11-950C14.3 
AF011889.2,1,CTD-3138B18.5 
PLEKHG3,1,OPLAH 
FTH1P10,1,MMEL1 
AC009495.3,1,EBAG9P1 
PRKCH,1,SLC35G1 
GPR83,1,GCSHP5 
IGHA2,1,GPR162 
P2RY2,1,AC009974.11 
ARG1,1,STOM 
LSM6,1,DTX2P1-UPK3BP1-PMS2P11 
CTD-2619J13.17,1,CTD-2165H16.4 
TNFRSF10B,1,LCN15 
LTBP3,1,AP2B1 
CTD-2636A23.2,1,AC016734.2 
CTD-2647L4.4,1,AP001625.6 
CTD-2655K5.1,1,AC016735.2 
NCBP2L,1,RP3-473L9.4 
MYOM3,1,COL19A1 
NCK1-AS1,1,RP11-109N23.4 
CCNJL,1,CTD-2536I1.2 
RP11-19O2.2,1,MYH16 
SSH3,1,CCDC138 
LSG1,1,ITGA2B 
NCKAP1,1,TTTY15 
TNFAIP3,1,ADAM9 
ST13P5,1,CCDC91 
NBPF9,1,SIK2 
ST13P6,1,RP11-568K15.1 
CTD-2588E21.1,1,NBPF1 
ST20,1,CCSER2 
NAV2,1,METTL23 
CD160,1,PMS2P4 
NAT16,1,LA16c-431H6.6 
RP11-20I20.2,1,RP11-345N11.1 
ST3GAL2,1,RPL12 
NAT14,1,ZBTB4 
RP11-407G23.4,1,FAM222A 
NARS2,1,ZDHHC5 
CD38,1,RP11-680F20.6 
CD46,1,STK32A 
TMPRSS3,1,GAS2 
CTD-3092A11.2,1,NISCH 
NCKIPSD,1,RAB7B 
CCNB2,1,RP4-671O14.6 
RP11-193M21.1,1,SATB2-AS1 
CTD-3220F14.2,1,AC114730.3 
TNRC6C,1,PBOV1 
NDOR1,1,POU2F3 
NDNL2,1,SLC16A8 
CCDC80,1,MSRA 
RP11-421L21.2,1,HOXA9 
RP11-192H23.8,1,CTAGE5 
TNNT3,1,RPL7P16 
TNNT2,1,CTA-363E6.1 
CCDC86,1,ZNF302 
SRRM5,1,NICN1 
RP11-420L9.2,1,RP11-56M3.1 
RP11-192M23.1,1,FAM222A 
LRRN2,1,IFNG 
RP11-420C9.1,1,POLR3B 
CCNB1IP1,1,TMEM38B 
LRRN3,1,RP11-20E24.1 
SRSF3,1,AGER 
RP11-418J17.1,1,TMC6 
CCL17,1,SOX7 
RP11-417L19.6,1,POU5F1P3 
TNK2-AS1,1,ZDHHC14 
CCL20,1,CYP51A1-AS1 
RP11-417L19.5,1,PLK1 
NCLP1,1,CACHD1 
CCL23,1,DAP 
SRXN1,1,ENPP4 
RP11-416A17.6,1,PASK 
CCL4,1,POLR3E 
CCNA1,1,CTAGE15 
CTD-2553L13.10,1,NSUN5 
NAP1L6,1,CLASP1 
TMPRSS11E,1,PPM1B 
MZT2A,1,RP11-699L21.1 
RP11-219G10.1,1,SMN2 
LZTS2,1,FAM65C 
TMEM45B,1,RBM28 
STAU1,1,CWF19L2 
MACC1,1,RP11-114M1.1 
STC1,1,RP11-20I23.2 
RP11-225B17.2,1,LPHN1 
MAD1L1,1,MPPED1 
TMEM41A,1,RP11-80P20.3 
TMEM40,1,TBX2-AS1 
STEAP2,1,RP11-96H17.1 
RP11-399C16.3,1,GPATCH1 
MAEL,1,TMEM262 
CDK5R1,1,KIF25 
MZB1,1,SLC1A5 
CTD-2349P21.3,1,PPIB 
RP11-228B15.4,1,CTD-2047H16.4 
RP11-396C23.2,1,RP11-517C16.2 
CTD-2308L22.1,1,ATRIP 
MYT1,1,LINC00839 
CTD-2302E22.5,1,RP11-6O2.3 
STK24,1,MFAP3L 
CDT1,1,IFT74 
MYRIP,1,CXCL5 
RP11-22P4.1,1,RP4-635E18.6 
CEACAM21,1,FAHD1 
CTD-2278I10.4,1,CKAP2L 
CTD-2270P14.1,1,CTD-3080P12.3 
CTD-2240J17.4,1,PDXDC1 
CEBPA,1,AC096670.3 
TMEM51-AS1,1,RP11-497E19.1 
TMEM53,1,PON2 
CD53,1,SH3RF3-AS1 
STAG3L4,1,FBXO3 
CD63,1,RP11-61I13.3 
ST7-OT4,1,NSUN5 
CTD-2547L24.3,1,CLASRP 
CTD-2537I9.12,1,ZBP1 
CTD-2530H12.8,1,CALCRL 
RP11-214K3.23,1,B2M 
NAE1,1,CTC-523E23.4 
RP11-214N9.1,1,TGFA 
CD99,1,PMF1-BGLAP 
CTD-2527I21.14,1,LGALS8-AS1 
NADK2,1,EFCAB6-AS1 
STAG3L1,1,RP11-245J24.1 
RP11-216L13.21,1,HSD17B14 
CDC20P1,1,PPM1A 
TMEM81,1,RP11-531F16.4 
CDH11,1,DDX54 
RP11-218F10.3,1,RP13-650J16.1 
CDC37P1,1,PLIN3 
CTD-2514C3.1,1,RP11-29B2.6 
CTD-2410N18.3,1,PEAK1 
NAA50,1,AC079305.10 
CDC42EP2,1,LZTFL1 
CDC42EP3,1,RP11-364B14.3 
CDC42SE1,1,TRPS1 
CDC7,1,RP11-755F10.1 
CDCA4,1,ZNF382 
STARD4-AS1,1,CYP27B1 
CTD-2378E12.1,1,FGD5P1 
CDCA7,1,RP11-177C12.1 
CTD-2366F13.1,1,TCEB1 
SRR,1,OR7C1 
LRRC75A-AS1,1,SNRPG 
SRPK1,1,PON3 
CAPS,1,AC083873.4 
DCAF8,1,PPP2R4 
NIM1K,1,TNXA 
LIPH,1,GAPDHP71 
LL09NC01-251B2.3,1,RPL11 
RP11-44N21.1,1,RBBP9 
CANT1,1,RPS6KL1 
NFYA,1,MED15 
CAPN10-AS1,1,KRTCAP3 
LL0XNC01-116E7.2,1,CHST5 
TRAPPC11,1,RP11-303E16.2 
CAPN7,1,CDYL2 
DAZAP2,1,RP11-357P18.2 
SPATA5,1,FAM66B 
LL21NC02-1C16.1,1,ME2 
CAPSL,1,VWA2 
DCBLD1,1,EAF2 
CAPZA1,1,RAB34 
RP11-44F21.5,1,TRBV5-1 
SPC24,1,PNMAL2 
TRAFD1,1,FAM178B 
CARHSP1,1,PTPN2 
TRAF3IP3,1,ZNF680 
LLGL2,1,KNTC1 
RP11-173A16.1,1,FAM27C 
DACH1,1,ACADS 
RP11-173C1.1,1,RP11-295H24.5 
RP11-449D8.1,1,SERPINC1 
CYSLTR2,1,SV2A 
CASC8,1,SIGLEC14 
CASP3,1,CCDC17 
NINL,1,RP11-139H15.5 
SPAG7,1,TAX1BP3 
RP11-173M1.5,1,SGIP1 
RP11-459E5.1,1,ATF4P4 
CAAP1,1,ALG1L10P 
CABP1,1,TRPC4 
LINC01268,1,MEG3 
LINC01293,1,SMC3 
CACNA1C-AS2,1,MYBPH 
CACNA1H,1,NNMT 
DDX24,1,TTI2 
CACNA1I,1,AC114730.11 
LINC01346,1,ZNF146 
DDIT4L,1,RP11-165H4.2 
LINC01355,1,NHLH2 
RP11-45A17.3,1,FAM189A2 
TRBV26OR9-2,1,TCEANC2 
CACTIN-AS1,1,LINC01036 
SP140,1,AIM1 
DCBLD2,1,RRM2 
DCST1,1,RP11-463O9.9 
DCP1A,1,RP11-519G16.5 
SP8,1,RP11-214O1.2 
LINC01579,1,ZNF680 
DCHS1,1,CTAGE8 
CALCOCO2,1,E2F5 
RP11-166B2.1,1,SVEP1 
TRAV9-2,1,TMEM55A 
SPAG17,1,PHF19 
CAMK1D,1,DOCK3 
CAMK1G,1,RNF217-AS1 
NISCH,1,CTD-3092A11.2 
NIPSNAP1,1,AMN 
DCC,1,AC004471.10 
SPEF1,1,ZNF324 
TPTE2P5,1,COMMD7 
TNXB,1,RP11-452F19.3 
LRRC3B,1,PPP1R3A 
CCDC132,1,ORMDL2 
LRRC37A5P,1,RP11-54O7.16 
TOX3,1,DLX1 
TOX2,1,SLC30A8 
CCDC136,1,SOX5 
TOR2A,1,ERBB3 
SRCAP,1,CNTN2 
CWC27,1,FPR1 
RP11-181C21.4,1,EP300 
RP11-181K12.1,1,PXK 
CWC22,1,HOXB-AS3 
CUZD1,1,S1PR4 
LRRC37B,1,RP11-529H20.3 
CCDC160,1,CHMP1A 
RP11-182N22.9,1,SLC39A2 
LRRC37A16P,1,IGLON5 
TOP1MT,1,RP11-464D20.2 
LRRC41,1,ZNF785 
NDUFB6,1,AC011523.2 
NDUFB4,1,DLG1-AS1 
RP11-187O7.1,1,TBXA2R 
NDUFA9,1,C20orf27 
CTSW,1,GCLM 
CTSV,1,NEK2 
CCDC47,1,ITSN2 
LRRC59,1,ROPN1B 
CTSL,1,TAF1B 
SRP68,1,EML1 
LRRC66,1,CEP83 
CCDC64,1,PCED1B 
CXCR2,1,RP11-629O1.2 
NECAP1,1,FBRSL1 
TPTE2P3,1,RNMTL1 
CBWD5,1,FIG4 
NEURL3,1,DHX35 
CASP9,1,RP11-576I22.2 
CYP51A1,1,CDH2 
TPT1,1,ZNF780B 
LONRF2,1,AC000123.4 
NET1,1,TMSB4XP4 
TPRXL,1,STEAP3 
LPAR6,1,BAG6 
RP11-439E19.9,1,PEX14 
CYP2J2,1,GPR61 
SPIRE2,1,FAHD2B 
RP11-439C15.4,1,CRYBB2P1 
CBWD1,1,INE1 
LRFN5,1,PYGL 
SPRED2,1,RP11-666O2.2 
SPTY2D1,1,SLC25A16 
TPM1,1,ADAM9 
SPRED3,1,CASC9 
LRP1,1,LINC01106 
RP11-435F13.2,1,MYO10 
CYCS,1,NOSIP 
LRP5,1,MOCS1 
RP11-434B12.1,1,RP11-554D15.3 
TPCN1,1,RP11-977G19.5 
RP11-431K24.1,1,ZNF487 
CCDC113,1,SLC17A7 
CYB561,1,IDUA 
NEDD1,1,RP11-402G3.5 
TP53RK,1,SLC2A11 
RP11-180C16.1,1,RP11-497E19.1 
CEBPG,1,C9orf84 
CTD-2240J17.3,1,AC005224.2 
RNU6-848P,1,LINC01507 
THUMPD3-AS1,1,PSMB6 
MRPS31P4,1,TBX10 
MFAP4,1,PLTP 
CLIC6,1,ADAMTSL3 
CLIC4,1,RNF225 
THTPA,1,AC024937.1 
CSNK2A1,1,ZNF441 
CLEC4G,1,ARHGEF7-AS2 
TMEM240,1,RP11-251G23.5 
CLEC4F,1,RP11-1081M5.1 
RP11-285J16.1,1,OR52N4 
TAS1R3,1,RP11-526D8.11 
TICAM1,1,FAM73B 
TAS1R1,1,AC005754.7 
METAP2,1,PGS1 
RP11-345P4.7,1,ZFP1 
CRYZ,1,RD3 
RP11-345K20.2,1,GS1-72M22.1 
MRPS27,1,USO1 
TBC1D17,1,ZNF12 
THOP1,1,CTDP1 
CRTAM,1,JMJD4 
CRP,1,FOXRED2 
RP11-290F24.6,1,ADCY4 
THG1L,1,RP11-715J22.6 
CLP1,1,LLGL1 
CLPTM1,1,MUC2 
CLPX,1,RP11-521B24.5 
THBS2,1,RP11-65J3.3 
MRPL48,1,USP18 
MGME1,1,ANG 
CRISPLD1,1,SEMA3E 
TIFA,1,IGFLR1 
CSTF2T,1,LINC01436 
CTA-126B4.7,1,EXO5 
TIMP4,1,METTL21A 
MECOM,1,RFX4 
CTB-36H16.2,1,PAQR8 
CIDEC,1,C2orf42 
RP11-278C7.4,1,MYLK3 
CILP,1,XX-C00717C00720L.1 
CINP,1,AVPI1 
CTB-25B13.12,1,RP11-278L15.2 
CTB-179K24.3,1,ST6GALNAC4P1 
TADA2B,1,SOX21 
TAF10,1,AMOT 
MED13L,1,RP11-348F1.3 
MED14,1,RP11-273G15.2 
MST1P2,1,CTD-3184A7.4 
TAF1A,1,CEP83 
TAF1C,1,PPFIBP1 
MRRF,1,TMEM55B 
CLASRP,1,CTD-2547L24.3 
TAF6,1,RP11-96H17.1 
TIMM8AP1,1,AATK 
MSI2,1,RPS18P9 
TIMM44,1,CTC-471C19.1 
MEGF11,1,SIN3A 
TAF7,1,ADORA3 
RP11-283G6.3,1,ZCWPW1 
TIMM17B,1,SPOP 
CTA-363E6.6,1,SAE1 
TIMM13,1,DDX17 
MS4A14,1,MCTS2P 
CTA-292E10.8,1,CARD8 
TAMM41,1,RIOK3 
MGST2,1,GCLM 
TBC1D8,1,ADCY1 
TBC1D9,1,RP11-401L13.4 
TCOF1,1,KLRK1 
CPED1,1,FAM43B 
CNTRL,1,SLCO2A1 
COA6,1,RP11-359B12.2 
TEX38,1,RAB42 
CPA4,1,ZNF23 
MPHOSPH9,1,SMTN 
MIRLET7BHG,1,B4GALNT1 
COX6CP1,1,CCDC14 
COX6C,1,ANKDD1A 
COG7,1,LA16c-316G12.2 
TCF7L2,1,PTENP1-AS 
MIXL1,1,RP11-571M6.18 
TET3,1,CTD-2284J15.1 
MPEG1,1,RP4-641G12.4 
TCTE3,1,FMO5 
CPLX1,1,MIEF2 
COL5A2,1,S1PR2 
MOK,1,CCDC9 
MOCS2,1,IL1RL2 
MOB1A,1,DLK1 
MLLT1,1,AL035610.1 
TCTN3,1,PPP3R2 
MMP9,1,SMIM3 
MLX,1,RP11-483F11.7 
MMP21,1,OSTC 
MMEL1,1,FTH1P10 
COLQ,1,RP11-69L16.5 
COMMD3,1,C20orf144 
RP11-313D6.3,1,FCGR2A 
COPB2,1,DEDD 
RP11-2E11.9,1,DPEP2 
CNTNAP3,1,IZUMO4 
MRPL42,1,NR3C2 
RP11-296E7.1,1,NENF 
TBCA,1,RP11-430H10.1 
MRPL36,1,FAM43B 
MRPL35P2,1,PELI1 
RP11-295D4.5,1,RP5-857K21.6 
MIATNB,1,ZACN 
CREBRF,1,AC072062.1 
CMTM8,1,SCIMP 
MID1,1,SPCS1 
RP11-336A10.5,1,BTK 
TGIF2,1,RP11-18C24.8 
CREB1,1,ZNF567 
MIER1,1,ARHGAP31 
TGFBR1,1,AUNIP 
MRPL15P1,1,EEF1DP3 
MROH7-TTC4,1,RP11-61L23.2 
CPNE3,1,RP11-390P24.1 
TGFA,1,RP11-214N9.1 
MIR1254-1,1,RAB35 
MIR17HG,1,CYB5R4 
TBX5-AS1,1,AC006042.6 
CNNM1,1,MAPK13 
MIR200B,1,RIPK4 
CNOT6,1,TNPO2 
MIR25,1,ENAM 
CPT2,1,THYN1 
MIR4263,1,PREB 
TCEAL3,1,RP11-284B18.3 
TFDP1,1,LPGAT1 
RP11-326C3.11,1,TESC 
TFB1M,1,CBWD7 
RP11-357H14.17,1,PROSC 
MDM2,1,RP4-761J14.8 
SZT2,1,IGKV2-24 
RP11-252A24.3,1,GDF7 
RP11-384C4.3,1,ARRB2 
STYXL1,1,UPF1 
RP11-383H13.1,1,MYBPC3 
CTC-559E9.12,1,C17orf49 
MAP3K8,1,DHX9 
MYBPH,1,CACNA1C-AS2 
SUCNR1,1,TNFAIP1 
CES3,1,SSBP3 
RP11-250B2.6,1,BBX 
CETN2,1,SERHL 
SUFU,1,ITPRIPL2 
RP11-381P6.1,1,CD27 
RP11-251G23.5,1,TMEM240 
MAP3K9,1,RP3-405J10.3 
SULF1,1,RGS17 
CEP57,1,F2RL2 
MAP4,1,HSPE1P2 
TMEM154,1,RANBP1 
RP11-380M21.2,1,ALG13-AS1 
SULT1E1,1,LRG1 
SULT2B1,1,IFIT1 
TMEM150B,1,CCR7 
RP11-254A24.2,1,LINC01356 
CTC-497E21.3,1,BAG2 
RP11-254F7.2,1,PTCHD4 
RP11-379K17.4,1,AC020951.1 
RP11-379F4.4,1,EIF2S2P4 
RP11-258C19.7,1,IGLV4-60 
CGB7,1,HIST2H2BB 
MUC13,1,SIN3B 
CEP68,1,TGFBR3L 
TMEM180,1,RP11-67C2.2 
CTC-471J1.10,1,TROVE2 
CENPJ,1,KCNIP3 
CTD-2235C13.3,1,MSTO1 
STMN4,1,RP11-424M24.5 
CEL,1,STARD3NL 
CELF2-AS1,1,THEM5 
MAMDC2,1,RP11-449G16.1 
MYO5B,1,ZNRF3 
MAML1,1,CHI3L2 
CTD-2192J16.22,1,CH17-431G21.1 
MAN1B1,1,BEND3 
CTD-2173L22.4,1,SMCO4 
RP11-23J9.5,1,VEGFA 
RP11-23N2.4,1,ZFP69 
STRCP1,1,EIF4A2P4 
CTD-2154I11.2,1,CYP24A1 
CTD-2089N3.2,1,GPR37 
MYH7B,1,CTD-2529O21.2 
CENPL,1,PPDPF 
RP11-388N2.1,1,TESK1 
MAP2K2,1,FLG 
CTD-2027I19.3,1,SIGLEC16 
RP11-386I14.4,1,TRPV1 
CEP104,1,GOLGA8B 
